houseid,personid,trpmiles,trippurp
30502001,02,2.059,NHB
30335435,01,0.103,HBSHOP
40119363,02,1.488,HBSHOP
30028406,01,218.955,HBW
30009226,01,3.579,HBO
40263126,01,3.469,HBO
40674384,01,1.7,HBSHOP
40143443,02,3.417,NHB
40785830,02,39.887,NHB
30191799,04,16.962,HBSOCREC
40531274,04,0.479,HBO
30205429,02,3.035,NHB
30465478,05,3.096,HBO
30493516,04,9.985,HBW
40389323,01,17.458,HBSOCREC
40399973,04,3.164,NHB
40234321,03,7.355,NHB
40412663,01,13.794,NHB
40039937,04,0.437,HBO
40278956,02,1.728,HBO
30357722,02,15.519,HBW
40022892,01,84.097,HBSHOP
40469432,03,3.641,HBSOCREC
40707324,02,3.545,NHB
40084677,01,7.916,HBO
30008000,01,0.267,HBSOCREC
30358410,01,64.724,HBSOCREC
40135962,02,2.01,HBW
40518955,02,2.646,HBSHOP
30095373,01,13.12,HBW
40021011,01,5.875,HBSHOP
30517607,02,7.214,HBO
30311970,01,0.85,HBW
40023278,01,17.842,HBW
30352099,01,1.883,NHB
30268037,01,0.808,HBSHOP
40495153,03,2.375,HBO
40403305,02,89.603,HBO
30140786,01,2.083,HBSOCREC
30555558,01,0.141,NHB
30420842,04,0.734,HBSHOP
30491068,03,7.293,HBSHOP
30350592,01,12.002,HBW
30366989,02,5.147,HBW
30270739,01,4.066,HBSOCREC
40728135,01,3.427,HBSHOP
30302991,01,3.245,HBSHOP
40600489,01,11.689,HBSHOP
30338397,02,5.92,HBSOCREC
40731577,04,6.82,HBO
40717737,01,6.611,NHB
30514251,01,3.2,HBW
30262509,03,2.076,HBSHOP
30359943,03,1.119,HBSHOP
30348372,03,6.276,HBO
40186216,02,33.84,HBO
30172861,01,7.554,HBW
40327946,01,16.109,HBW
30223912,01,1.432,HBSHOP
40166232,02,2.822,HBO
40550436,01,6.096,HBSHOP
30257789,01,2.251,NHB
30480916,01,1.924,NHB
40717323,01,1.028,HBO
30404751,01,1.502,NHB
30265200,01,0.904,HBSHOP
30462842,01,14.65,NHB
30053793,01,0.333,NHB
40489438,01,1.867,HBSHOP
40159328,04,2.307,HBO
30142001,01,2.291,NHB
40405660,01,11.797,HBW
30442876,01,10.349,HBW
30246300,02,41.571,HBW
30365907,04,11.766,NHB
40202563,01,2.443,HBO
30036609,02,106.743,NHB
30148657,01,0.407,NHB
40216127,02,1.598,HBSOCREC
40551423,01,3.916,HBSOCREC
40542994,01,1.097,HBSHOP
40352354,02,20.826,HBW
30341056,01,11.907,HBSHOP
30217908,01,0.536,NHB
30536087,01,0.111,HBO
40223734,02,1.64,HBSOCREC
40205057,02,1.958,NHB
40507682,02,0.668,NHB
30547271,02,11.426,HBO
30325533,01,393.245,HBO
40597572,02,30.684,HBSHOP
30072554,01,2.665,HBO
30194508,04,7.008,HBSHOP
30086049,01,37.121,HBSOCREC
40370049,03,4.452,HBSOCREC
30141773,04,3.493,HBO
30445962,01,2.936,HBSHOP
